Accession,Release_Date,Geo_Location
MT050414,2020-02-12T00:00:00Z,Australia
MT050415,2020-02-12T00:00:00Z,Australia
MT050416,2020-02-12T00:00:00Z,Australia
MT050417,2020-02-12T00:00:00Z,Australia
MT111895,2020-02-26T00:00:00Z,Australia: Queensland
MT111896,2020-02-26T00:00:00Z,Australia: Queensland
MT450919,2020-05-11T00:00:00Z,Australia: Victoria
MT450920,2020-05-11T00:00:00Z,Australia: Victoria
MT450921,2020-05-11T00:00:00Z,Australia: Victoria
MT450922,2020-05-11T00:00:00Z,Australia: Victoria
MT450923,2020-05-11T00:00:00Z,Australia: Victoria
MT450924,2020-05-11T00:00:00Z,Australia: Victoria
MT450925,2020-05-11T00:00:00Z,Australia: Victoria
MT450926,2020-05-11T00:00:00Z,Australia: Victoria
MT450927,2020-05-11T00:00:00Z,Australia: Victoria
MT450928,2020-05-11T00:00:00Z,Australia: Victoria
MT450929,2020-05-11T00:00:00Z,Australia: Victoria
MT450930,2020-05-11T00:00:00Z,Australia: Victoria
MT450931,2020-05-11T00:00:00Z,Australia: Victoria
MT450932,2020-05-11T00:00:00Z,Australia: Victoria
MT450933,2020-05-11T00:00:00Z,Australia: Victoria
MT450934,2020-05-11T00:00:00Z,Australia: Victoria
MT450935,2020-05-11T00:00:00Z,Australia: Victoria
MT450936,2020-05-11T00:00:00Z,Australia: Victoria
MT450937,2020-05-11T00:00:00Z,Australia: Victoria
MT450938,2020-05-11T00:00:00Z,Australia: Victoria
MT450939,2020-05-11T00:00:00Z,Australia: Victoria
MT450940,2020-05-11T00:00:00Z,Australia: Victoria
MT450941,2020-05-11T00:00:00Z,Australia: Victoria
MT450942,2020-05-11T00:00:00Z,Australia: Victoria
MT450943,2020-05-11T00:00:00Z,Australia: Victoria
MT450944,2020-05-11T00:00:00Z,Australia: Victoria
MT450945,2020-05-11T00:00:00Z,Australia: Victoria
MT450946,2020-05-11T00:00:00Z,Australia: Victoria
MT450947,2020-05-11T00:00:00Z,Australia: Victoria
MT450948,2020-05-11T00:00:00Z,Australia: Victoria
MT450949,2020-05-11T00:00:00Z,Australia: Victoria
MT450950,2020-05-11T00:00:00Z,Australia: Victoria
MT450951,2020-05-11T00:00:00Z,Australia: Victoria
MT450952,2020-05-11T00:00:00Z,Australia: Victoria
MT450953,2020-05-11T00:00:00Z,Australia: Victoria
MT450954,2020-05-11T00:00:00Z,Australia: Victoria
MT450955,2020-05-11T00:00:00Z,Australia: Victoria
MT450956,2020-05-11T00:00:00Z,Australia: Victoria
MT450957,2020-05-11T00:00:00Z,Australia: Victoria
MT450958,2020-05-11T00:00:00Z,Australia: Victoria
MT450959,2020-05-11T00:00:00Z,Australia: Victoria
MT450960,2020-05-11T00:00:00Z,Australia: Victoria
MT450961,2020-05-11T00:00:00Z,Australia: Victoria
MT450962,2020-05-11T00:00:00Z,Australia: Victoria
MT450963,2020-05-11T00:00:00Z,Australia: Victoria
MT450964,2020-05-11T00:00:00Z,Australia: Victoria
MT450965,2020-05-11T00:00:00Z,Australia: Victoria
MT450966,2020-05-11T00:00:00Z,Australia: Victoria
MT450967,2020-05-11T00:00:00Z,Australia: Victoria
MT450968,2020-05-11T00:00:00Z,Australia: Victoria
MT450969,2020-05-11T00:00:00Z,Australia: Victoria
MT450970,2020-05-11T00:00:00Z,Australia: Victoria
MT450971,2020-05-11T00:00:00Z,Australia: Victoria
MT450972,2020-05-11T00:00:00Z,Australia: Victoria
MT450973,2020-05-11T00:00:00Z,Australia: Victoria
MT450974,2020-05-11T00:00:00Z,Australia: Victoria
MT450975,2020-05-11T00:00:00Z,Australia: Victoria
MT450976,2020-05-11T00:00:00Z,Australia: Victoria
MT450977,2020-05-11T00:00:00Z,Australia: Victoria
MT450978,2020-05-11T00:00:00Z,Australia: Victoria
MT450979,2020-05-11T00:00:00Z,Australia: Victoria
MT450980,2020-05-11T00:00:00Z,Australia: Victoria
MT450981,2020-05-11T00:00:00Z,Australia: Victoria
MT450982,2020-05-11T00:00:00Z,Australia: Victoria
MT450983,2020-05-11T00:00:00Z,Australia: Victoria
MT450984,2020-05-11T00:00:00Z,Australia: Victoria
MT450985,2020-05-11T00:00:00Z,Australia: Victoria
MT450986,2020-05-11T00:00:00Z,Australia: Victoria
MT450987,2020-05-11T00:00:00Z,Australia: Victoria
MT450988,2020-05-11T00:00:00Z,Australia: Victoria
MT450989,2020-05-11T00:00:00Z,Australia: Victoria
MT450990,2020-05-11T00:00:00Z,Australia: Victoria
MT450991,2020-05-11T00:00:00Z,Australia: Victoria
MT450992,2020-05-11T00:00:00Z,Australia: Victoria
MT450993,2020-05-11T00:00:00Z,Australia: Victoria
MT450994,2020-05-11T00:00:00Z,Australia: Victoria
MT450995,2020-05-11T00:00:00Z,Australia: Victoria
MT450996,2020-05-11T00:00:00Z,Australia: Victoria
MT450997,2020-05-11T00:00:00Z,Australia: Victoria
MT450998,2020-05-11T00:00:00Z,Australia: Victoria
MT450999,2020-05-11T00:00:00Z,Australia: Victoria
MT451000,2020-05-11T00:00:00Z,Australia: Victoria
MT451001,2020-05-11T00:00:00Z,Australia: Victoria
MT451002,2020-05-11T00:00:00Z,Australia: Victoria
MT451003,2020-05-11T00:00:00Z,Australia: Victoria
MT451004,2020-05-11T00:00:00Z,Australia: Victoria
MT451005,2020-05-11T00:00:00Z,Australia: Victoria
MT451006,2020-05-11T00:00:00Z,Australia: Victoria
MT451007,2020-05-11T00:00:00Z,Australia: Victoria
MT451008,2020-05-11T00:00:00Z,Australia: Victoria
MT451009,2020-05-11T00:00:00Z,Australia: Victoria
MT451010,2020-05-11T00:00:00Z,Australia: Victoria
MT451011,2020-05-11T00:00:00Z,Australia: Victoria
MT451012,2020-05-11T00:00:00Z,Australia: Victoria
MT451013,2020-05-11T00:00:00Z,Australia: Victoria
MT451014,2020-05-11T00:00:00Z,Australia: Victoria
MT451015,2020-05-11T00:00:00Z,Australia: Victoria
MT451016,2020-05-11T00:00:00Z,Australia: Victoria
MT451017,2020-05-11T00:00:00Z,Australia: Victoria
MT451018,2020-05-11T00:00:00Z,Australia: Victoria
MT451019,2020-05-11T00:00:00Z,Australia: Victoria
MT451020,2020-05-11T00:00:00Z,Australia: Victoria
MT451021,2020-05-11T00:00:00Z,Australia: Victoria
MT451022,2020-05-11T00:00:00Z,Australia: Victoria
MT451023,2020-05-11T00:00:00Z,Australia: Victoria
MT451024,2020-05-11T00:00:00Z,Australia: Victoria
MT451025,2020-05-11T00:00:00Z,Australia: Victoria
MT451026,2020-05-11T00:00:00Z,Australia: Victoria
MT451027,2020-05-11T00:00:00Z,Australia: Victoria
